https://maplestory.nexon.com/Guide/CashShop/Probability/RoyalStyle,
,
로얄스타일,[스페셜 라벨] 꽃잎 약속,2.5%,,
[스페셜 라벨] 꽃잎 폭포,3.0%,,
[스페셜 라벨] 꽃송이 구두 (남) / 꽃리본 구두 (여),3.2%,,
[스페셜 라벨] 꽃잎 정원 (남) / 꽃잎 화원 (여),3.2%,,
[스페셜 라벨] 꽃잎 리본,3.1%,,
하트비트 꼬마악마,4.0%,,
하트비트 콩닥 (남) / 하트비트 두근 (여),2.5%,,
하트비트 홈런,2.0%,,
하트비트 악마꼬리,4.0%,,
콩닥 운동화 (남자만 획득가능) / 두근 운동화 (여자만 획득가능),5.0%,,
사신의 날개,1.5%,,
사신의 가면,5.0%,,
사신의 로브,4.0%,,
사신의 망토,5.0%,,
사신의 눈빛,5.0%,,
롭이어 래빗 후드,3.0%,,
꽃별,4.0%,,
올 어바웃 진,5.0%,,
올 어바웃 블랙,5.0%,,
공부하다 말았다,5.0%,,
33 안경,5.0%,,
[30일] 꼬마악마 말풍선반지 교환권,5.0%,,
[30일] 꼬마악마 명찰반지 교환권,5.0%,,
사신의 옥좌,5.0%,,
스카우터,5.0%,,
,
https://maplestory.nexon.com/Guide/CashShop/Probability/MasterpieceRed,
,
레드라벨 모자,로즈 블렌딩,7.71%,,
푸른 밤 베레모,7.71%,,
블루밍 오션,7.71%,,
해바라기 꽃모자 (A) / 해바라기 꽃핀 (B),7.71%,,
장난감 프로펠러,7.71%,,
신비한 모자,7.71%,,
눈꽃보송 머리띠,7.71%,,
블랙 머스크 리본 (A) / 블랙 바닐라 리본 (B),7.71%,,
결계의 그늘,7.71%,,
말랑 깡총,7.71%,,
파도 산호,7.71%,,
마스터라벨 모자,피어난 악몽 (A) / 흐드러진 악몽 (B),11.85%,,
아렌 헤어쿠폰(남) 선택권 (A) / 아멜리 헤어쿠폰(여) 선택권 (B),3.39%,,
,
,
레드라벨 옷,실론 티타임 (남) / 다즐링 티타임 (여),7.55%,,
